,mic_0,mic_1,mic_2,mic_3,mic_4,mic_5,mic_6,output_angle
212,-1,-1,0,-1,-1,-1,-1,30
213,-1,-1,0,0,0,-1,-1,30
214,0,0,0,-1,0,-1,0,30
215,0,1,1,1,1,-1,-1,30
216,1,0,0,-1,1,-1,-1,30
217,0,-1,0,0,0,0,-1,30
218,1,1,1,1,-1,0,-1,30
219,0,0,0,-1,-1,0,0,30
220,0,0,-1,0,0,0,-1,30
221,1,-1,0,0,0,-1,0,30
222,0,0,0,0,0,-1,0,30
223,-1,-1,0,0,0,0,0,30
224,-1,-1,0,0,0,-1,0,30
225,0,-1,0,-1,-1,0,0,30
226,0,0,0,-1,-1,0,0,30
227,0,-1,-1,-1,0,0,0,30
228,-1,0,0,-2,0,-1,0,30
229,-1,-1,0,-1,-1,0,-1,30
230,-1,-1,-2,0,-1,-1,0,30
231,-1,-1,-1,-1,-1,-1,-1,30
232,-1,0,-1,-1,-1,-1,0,30
233,-1,-1,-1,-2,0,-1,-1,30
234,-1,-1,-1,-1,-1,0,0,30
235,-1,-2,-1,-1,-2,-2,-1,30
236,0,-1,-1,-1,-1,-1,-1,30
237,0,-1,-3,-1,-1,-1,0,30
238,-1,0,-1,-1,0,-1,-1,30
239,-1,-1,-1,0,-1,0,0,30
240,-1,0,-1,-1,0,-1,0,30
241,0,1,0,-2,-1,0,-1,30
242,-1,0,0,-1,-1,0,0,30
243,0,0,0,0,0,-1,1,30
244,-1,0,-1,-1,0,-1,-1,30
245,-1,0,-1,1,1,-1,1,30
246,0,0,0,0,0,0,0,30
247,0,0,-1,1,0,0,0,30
248,0,0,0,0,0,0,1,30
249,0,1,-1,1,1,0,0,30
250,1,0,0,1,0,0,2,30
251,0,0,1,0,1,0,1,30
252,-1,0,0,1,0,0,2,30
253,0,0,1,0,0,0,0,30
254,0,0,0,0,0,0,1,30
255,-1,0,0,0,1,0,0,30
256,1,0,0,1,0,0,1,30
257,1,0,1,0,0,0,1,30
258,2,1,1,1,0,1,1,30
259,1,0,1,1,0,-1,0,30
260,0,-1,1,0,0,0,0,30
261,0,0,0,1,0,1,0,30
262,0,0,1,1,1,0,0,30
263,1,0,1,1,0,0,0,30
264,0,-1,-1,0,-1,1,1,30
265,-1,-1,0,0,0,0,0,30
266,-1,-1,0,0,-1,0,-1,30
267,-1,0,0,0,-1,0,0,30
268,-1,0,1,-1,-1,-2,1,30
269,-1,-1,0,-1,-1,-1,0,30
270,-1,-1,0,0,-1,-1,-1,30
271,-1,0,0,0,0,0,1,30
272,0,0,0,-1,-1,-1,-1,30
273,-1,0,2,0,-1,-1,0,30
274,0,0,1,1,0,-1,0,30
275,-1,0,0,0,0,-1,0,30
276,-1,0,1,0,-2,0,0,30
277,-1,0,0,-1,0,0,0,30
278,-1,0,0,0,0,0,1,30
279,-1,-1,0,0,0,0,0,30
280,0,-1,0,0,0,-1,-1,30
281,0,0,0,0,-1,0,0,30
282,-2,-1,0,0,-1,-1,-1,30
283,-1,-1,0,0,0,0,0,30
284,-1,0,0,0,-1,-2,-1,30
285,-1,-1,-1,1,0,-1,-1,30
286,-1,-1,1,0,-1,-1,0,30
287,-1,-1,1,0,-1,-1,-1,30
288,-1,-1,-1,0,-2,1,-1,30
289,-1,-1,0,-1,-1,0,0,30
290,0,-1,-1,-1,0,-1,-1,30
291,-1,-1,-1,0,0,-1,-1,30
292,0,0,0,1,1,-1,0,30
293,0,0,0,0,0,0,0,30
294,0,-1,1,0,1,-1,2,30
295,0,0,0,0,0,0,1,30
296,0,-1,1,0,1,-1,1,30
297,-1,0,1,0,1,0,1,30
298,0,0,0,1,-1,0,0,30
299,-2,-1,0,0,1,0,1,30
300,0,0,0,1,0,-1,0,30
301,-1,0,0,0,0,0,0,30
302,-1,0,2,1,0,0,0,30
303,0,0,1,1,0,-1,0,30
304,0,-1,1,-1,1,0,0,30
305,-1,0,0,0,-1,0,0,30
306,-2,0,1,-1,0,0,0,30
307,0,-2,0,0,0,0,0,30
308,0,-1,0,1,0,0,-1,30
309,0,-1,0,0,0,1,0,30
310,-1,-1,0,0,0,1,1,30
311,-1,-1,0,1,0,1,1,30
312,-1,-2,0,0,0,1,0,30
313,-1,0,0,-1,0,0,0,30
314,0,0,1,0,0,0,1,30
315,1,0,1,1,0,0,2,30
316,0,1,0,1,1,0,1,30
317,0,0,1,1,0,0,0,30
318,1,0,1,1,1,0,0,30
319,-1,0,1,2,2,0,1,30
320,0,0,1,1,1,1,1,30
321,0,0,0,1,1,1,1,30
322,1,1,1,1,1,1,2,30
323,1,1,2,1,2,1,1,30
324,1,1,1,1,1,1,1,30
325,1,1,1,3,2,2,2,30
326,2,1,1,2,2,1,1,30
327,2,1,1,2,2,1,1,30
328,1,0,1,1,1,2,2,30
329,2,2,1,2,2,3,2,30
330,0,1,2,2,2,2,1,30
331,1,0,1,2,1,2,2,30
332,2,1,0,2,2,1,1,30
333,2,1,1,1,1,1,1,30
334,2,1,1,2,1,2,1,30
335,2,1,1,2,0,2,2,30
336,1,1,1,2,1,2,1,30
337,0,1,1,1,1,2,1,30
338,1,1,1,1,1,2,2,30
339,1,0,1,1,1,2,1,30
340,0,0,0,0,1,2,2,30
341,2,1,0,1,0,2,0,30
342,0,1,1,1,2,2,1,30
343,2,1,1,2,1,2,1,30
344,1,0,1,2,1,1,0,30
345,1,1,1,1,1,2,1,30
346,1,1,1,1,1,2,1,30
347,1,1,1,1,0,2,1,30
348,0,0,0,1,0,1,1,30
349,0,0,1,0,1,1,1,30
350,1,0,2,1,1,0,1,30
351,0,0,1,1,-1,1,1,30
352,1,1,0,0,1,1,1,30
353,0,0,0,1,1,0,-1,30
354,0,0,1,0,-1,1,1,30
355,0,0,0,0,0,0,0,30
356,0,-1,0,0,0,0,0,30
357,0,0,-1,-1,-1,-1,0,30
358,0,0,0,-1,-1,0,-1,30
359,-1,0,0,0,0,0,-1,30
360,-1,-1,-1,-1,-1,0,0,30
361,-1,-1,0,-1,-1,1,0,30
362,0,-1,0,-1,0,1,0,30
363,0,0,0,-1,0,0,0,30
364,0,0,0,0,-1,0,-1,30
365,-1,-1,0,0,1,-1,-1,30
366,0,0,0,0,0,0,0,30
367,-1,0,1,0,0,0,-1,30
368,-1,0,1,0,-2,0,-1,30
369,-1,0,1,0,-1,0,1,30
370,-1,0,1,1,-1,0,0,30
371,0,0,0,0,-1,0,0,30
372,0,0,-1,0,-1,-1,-1,30
373,-1,-1,0,1,-2,0,0,30
374,0,0,-1,0,-1,0,0,30
375,-2,-1,-1,0,-1,-1,0,30
376,-1,-1,-1,0,-1,-1,0,30
377,-2,-1,0,-2,-2,-1,-1,30
378,-3,-1,-1,-1,-1,-1,-1,30
379,-3,-2,-2,-2,-2,-1,-1,30
380,-3,-2,-1,-2,-2,-1,-3,30
381,-1,-2,-2,-1,-2,-2,-2,30
382,-1,-3,-1,-2,-2,-1,-3,30
383,-3,-3,-2,-2,-2,-2,-2,30
384,-3,-2,-1,-2,-3,-2,-1,30
385,-2,-3,-1,-3,-2,-1,-2,30
386,-2,-2,-2,-2,-2,-2,-2,30
387,-3,-3,-2,-2,-2,-3,-2,30
388,-3,-3,-2,-2,-2,-1,-2,30
389,-3,-3,-2,-3,-2,-2,-2,30
390,-3,-3,-2,-3,-3,-2,-3,30
391,-3,-2,-3,-2,-2,-2,-3,30
392,-4,-3,-2,-3,-4,-3,-2,30
393,-4,-3,-2,-3,-3,-2,-3,30
394,-3,-3,-2,-3,-2,-2,-3,30
395,-4,-4,-2,-3,-3,-1,-3,30
396,-3,-3,-3,-2,-3,-2,-3,30
397,-2,-2,-2,-3,-3,-3,-2,30
398,-3,-4,-1,-2,-2,-1,-2,30
399,-1,-2,-1,-2,-3,-1,-1,30
400,-2,-2,-2,-2,-3,-1,-1,30
401,-2,-2,-1,-1,-2,-1,-1,30
402,-1,-2,-1,-1,-1,-1,-1,30
403,-1,-2,0,-1,-1,-1,-1,30
404,-1,-2,0,-1,0,-1,0,30
405,-1,-1,0,-1,-1,0,-1,30
406,-2,-1,0,0,0,-1,0,30
407,-1,0,0,-1,-1,0,-1,30
408,0,0,0,0,-1,0,0,30
409,-1,0,0,0,-1,0,0,30
410,0,0,1,1,0,0,0,30
411,-1,0,0,0,1,0,0,30
412,0,0,0,0,0,0,-1,30
413,0,0,1,0,0,0,1,30
414,0,0,2,0,-1,1,0,30
415,0,1,1,1,0,1,0,30
416,0,1,0,1,0,0,0,30
417,0,1,1,0,0,1,0,30
418,-1,1,1,0,0,1,0,30
419,0,0,1,1,0,0,0,30
420,0,-1,0,0,0,1,0,30
421,-2,-1,1,0,1,1,0,30
422,-1,-1,-1,0,1,1,-1,30
423,0,0,-1,0,1,0,0,30
424,0,-1,-1,0,1,0,0,30
425,-1,-1,-1,0,0,-1,-2,30
426,-1,-1,0,-1,1,-1,-1,30
427,0,-1,0,0,-1,0,-1,30
428,-1,-1,-1,-1,0,0,-1,30
429,0,0,0,-1,0,0,-1,30
430,0,-1,0,-1,0,0,-1,30
431,0,0,0,0,0,-1,-1,30
432,0,-1,0,0,1,0,-1,30
433,0,0,1,0,1,1,-1,30
434,-1,0,0,0,0,0,-1,30
435,-1,0,0,1,0,0,-1,30
436,0,0,0,1,1,1,0,30
437,0,0,1,1,1,-1,0,30
438,0,-1,1,1,1,1,-1,30
439,0,1,0,0,0,0,-1,30
440,1,1,1,0,1,-1,0,30
441,1,0,0,0,1,0,0,30
442,0,0,0,1,0,1,0,30
443,0,1,0,1,2,0,0,30
444,0,1,0,1,1,1,1,30
445,1,0,1,0,2,0,0,30
446,1,0,2,1,1,0,1,30
447,0,1,1,2,1,0,0,30
448,0,1,1,0,1,1,0,30
449,0,0,1,2,1,1,0,30
450,0,1,0,1,1,0,0,30
451,0,0,1,1,1,1,0,30
452,0,0,0,1,1,0,0,30
453,0,1,1,0,1,1,0,30
454,0,0,0,1,0,0,-1,30
455,0,0,0,0,0,0,-1,30
456,0,0,0,0,-1,0,0,30
457,0,0,0,-1,0,1,-1,30
458,-1,-1,0,0,-1,0,0,30
459,0,0,-1,-1,-1,-1,0,30
460,0,0,-1,0,0,-1,-1,30
461,-2,0,0,-1,-1,-1,-1,30
462,0,0,-1,0,0,0,-2,30
463,0,0,0,0,-1,-1,-1,30
464,-2,0,1,0,0,-2,-2,30
465,-1,1,-1,-1,0,0,-1,30
466,-1,0,0,0,-1,0,0,30
467,0,0,0,0,0,-1,-1,30
468,1,1,1,1,0,-1,0,30
469,1,0,0,1,0,0,-1,30
470,1,1,1,1,0,1,0,30
471,1,0,2,1,0,0,0,30
472,1,2,1,0,1,0,0,30
473,1,1,1,1,0,0,0,30
474,1,1,1,0,2,0,0,30
475,0,1,0,1,2,1,0,30
476,1,2,1,1,2,-1,0,30
477,0,0,0,0,1,1,0,30
478,1,0,0,0,0,0,0,30
479,0,1,1,0,1,0,0,30
480,1,1,1,0,1,0,0,30
481,1,1,1,1,1,0,1,30
482,0,1,1,1,0,0,0,30
483,2,1,1,0,1,0,1,30
484,0,1,1,-1,1,0,0,30
485,0,1,0,1,1,1,0,30
486,0,2,2,1,1,1,1,30
487,1,2,1,1,0,0,1,30
488,0,1,3,1,1,1,1,30
489,1,2,2,1,2,1,1,30
490,1,2,2,1,3,1,0,30
491,2,1,1,1,2,2,1,30
492,1,2,2,1,1,2,1,30
493,1,1,2,1,2,1,0,30
494,1,1,1,1,2,1,0,30
495,1,1,0,0,2,1,0,30
496,0,1,1,1,1,1,1,30
497,1,2,1,0,2,1,0,30
498,1,2,1,1,2,1,0,30
499,1,2,2,1,2,2,1,30
500,0,2,1,0,2,1,1,30
501,1,2,1,1,2,3,1,30
502,2,2,1,0,2,2,1,30
503,1,3,1,0,2,1,1,30
504,2,2,1,2,2,3,2,30
505,1,2,1,1,2,2,1,30
506,2,2,1,0,2,2,1,30
507,2,2,1,1,1,1,1,30
508,1,2,1,1,2,2,0,30
509,1,1,1,0,2,3,1,30
510,1,2,2,0,1,1,1,30
511,0,0,1,0,2,2,1,30
512,1,1,1,0,1,1,0,30
513,1,1,0,0,1,1,0,30
514,1,1,1,0,2,1,0,30
515,1,0,1,0,2,2,1,30
516,1,1,0,0,2,1,0,30
517,2,1,1,0,2,1,0,30
518,1,1,0,0,2,2,0,30
519,1,1,0,0,2,1,1,30
520,1,2,0,0,2,1,0,30
521,1,1,0,0,1,2,1,30
522,0,0,-1,1,2,1,0,30
